Title,year,Genre,Lead Cast,Director,Positive out of 10 Representation,Focus Area,Box Office Revenue (in M),community,Label
shadows rising,19-04-2015,scifi,olivia hernandez william brown,catherine hayes,8,race,208.64,Asian,shadows rising _Asian
final hour,17-11-1990,action,john hernandez olivia hernandez,laura scott,5.09,age,308.24,Asian,final hour _Asian
legends   fallen,19-02-2008,fantasy,james martinez mia martinez,catherine hayes,5.58,age,55.75,Asian,legends   fallen _Asian
secrets   valley,07-12-2013,drama,sophia hernandez isabella garcia,michael carter,8.79,gender,355.32,american,secrets   valley _american
legends   fallen,21-05-2007,comedy,noah smith james miller,michael carter,5.46,race,374.05,american,legends   fallen _american
shadows rising,23-04-2020,documentary,james williams olivia garcia,emily adams,6.64,race,251.49,european,shadows rising _european
golden horizon,07-10-2019,drama,william miller william hernandez,michael carter,7.65,age,300.25,american,golden horizon _american
final hour,13-01-2021,scifi,sophia hernandez mia smith,steven miller,8.2,disability,230.22,american,final hour _american
whispers   wind,18-07-2019,comedy,liam brown emma garcia,steven miller,6.42,disability,312.77,american,whispers   wind _american
legends   fallen,07-10-2012,action,noah brown liam williams,laura scott,5.82,lgbtq,464.57,Asian,legends   fallen _Asian
forgotten voyage,18-09-2023,scifi,william hernandez emma davis,michael carter,7.53,age,332.32,american,forgotten voyage _american
echoes  eternity,26-05-2007,documentary,john garcia sophia hernandez,catherine hayes,8.1,lgbtq,322.25,Asian,echoes  eternity _Asian
echoes  eternity,24-04-2012,thriller,olivia brown william davis,emily adams,7.1,race,93.88,european,echoes  eternity _european
final hour,18-11-2000,action,isabella martinez emma brown,laura scott,6.13,gender,17.38,Asian,final hour _Asian
echoes  eternity,14-04-2006,thriller,isabella martinez isabella davis,laura scott,8.93,lgbtq,334.68,Asian,echoes  eternity _Asian
shadows rising,18-01-2022,thriller,mia williams mia hernandez,emily adams,7.16,gender,319.74,european,shadows rising _european
echoes  eternity,08-11-1981,thriller,noah garcia isabella jones,laura scott,6.94,cultural,179.45,Asian,echoes  eternity _Asian
secrets   valley,23-12-1992,comedy,mia brown olivia williams,emily adams,7.72,age,152.09,european,secrets   valley _european
final hour,06-09-2005,documentary,james hernandez john hernandez,catherine hayes,7.53,race,95.27,Asian,final hour _Asian
lost   stars,06-01-1982,comedy,liam martinez sophia williams,daniel ford,6.09,cultural,304.29,european,lost   stars _european
breaking chains,19-12-1993,fantasy,emma davis james hernandez,emily adams,5.41,disability,212.99,european,breaking chains _european
legends   fallen,26-04-1984,drama,john hernandez emma miller,michael carter,5.57,age,448.07,american,legends   fallen _american
forgotten voyage,26-03-2012,action,isabella johnson liam davis,daniel ford,9.97,gender,445.96,european,forgotten voyage _european
legends   fallen,25-07-2009,fantasy,isabella smith olivia smith,laura scott,5.11,race,127.42,Asian,legends   fallen _Asian
lost   stars,15-10-2023,drama,william johnson olivia brown,emily adams,8.09,lgbtq,111.5,european,lost   stars _european
legends   fallen,28-11-2014,documentary,liam williams isabella jones,emily adams,9.34,disability,135.1,european,legends   fallen _european
forgotten voyage,08-02-1980,drama,william miller john williams,laura scott,9.28,lgbtq,472.79,Asian,forgotten voyage _Asian
shadows rising,17-11-2015,action,olivia smith emma johnson,laura scott,5.6,race,224.59,Asian,shadows rising _Asian
forgotten voyage,24-10-2013,fantasy,william miller isabella miller,steven miller,9.81,disability,86.34,american,forgotten voyage _american
secrets   valley,28-09-2017,thriller,william johnson isabella davis,michael carter,7.03,cultural,245.13,american,secrets   valley _american
shadows rising,17-06-1994,comedy,noah hernandez mia davis,catherine hayes,7.38,gender,241.59,Asian,shadows rising _Asian
whispers   wind,27-04-2010,scifi,noah brown william martinez,michael carter,8.26,cultural,225.18,american,whispers   wind _american
whispers   wind,04-11-1986,fantasy,mia johnson sophia smith,laura scott,9.89,cultural,421.8,Asian,whispers   wind _Asian
forgotten voyage,23-08-2018,thriller,noah davis sophia martinez,michael carter,6.96,lgbtq,41.19,american,forgotten voyage _american
final hour,03-10-1982,thriller,william garcia liam smith,daniel ford,5.76,age,405.29,european,final hour _european
secrets   valley,03-06-2021,fantasy,olivia jones john hernandez,catherine hayes,7.94,gender,281.98,Asian,secrets   valley _Asian
secrets   valley,19-01-2017,fantasy,isabella davis sophia hernandez,steven miller,8.4,age,325.61,american,secrets   valley _american
secrets   valley,10-04-1996,documentary,noah martinez emma garcia,daniel ford,9.38,disability,148.94,european,secrets   valley _european
echoes  eternity,20-03-1980,documentary,emma jones sophia brown,michael carter,7.44,cultural,45.54,american,echoes  eternity _american
lost   stars,11-04-2000,scifi,james brown isabella garcia,laura scott,7.19,race,193.29,Asian,lost   stars _Asian
golden horizon,09-01-1997,comedy,isabella smith mia martinez,michael carter,8.7,disability,473.06,american,golden horizon _american
secrets   valley,25-04-1982,fantasy,liam brown sophia miller,daniel ford,6.77,age,195.27,european,secrets   valley _european
shadows rising,14-02-2010,documentary,noah miller sophia johnson,michael carter,6.33,age,153.72,american,shadows rising _american
forgotten voyage,18-03-1983,documentary,emma hernandez isabella jones,michael carter,8.71,race,239.76,american,forgotten voyage _american
whispers   wind,02-04-2016,fantasy,olivia jones isabella williams,catherine hayes,8,age,91.95,Asian,whispers   wind _Asian
whispers   wind,11-10-2007,scifi,noah davis william hernandez,michael carter,5.23,race,297.74,american,whispers   wind _american
breaking chains,22-10-2023,comedy,liam williams sophia williams,daniel ford,9.82,gender,429.89,european,breaking chains _european
echoes  eternity,11-11-2011,drama,john jones john garcia,steven miller,7.15,cultural,113.02,american,echoes  eternity _american
secrets   valley,03-06-2011,action,isabella garcia isabella hernandez,michael carter,5.84,cultural,121.08,american,secrets   valley _american
legends   fallen,01-05-1991,documentary,noah martinez john garcia,emily adams,5.07,age,263.8,european,legends   fallen _european
legends   fallen,21-11-2004,fantasy,mia brown john martinez,michael carter,5.92,race,299.89,american,legends   fallen _american
golden horizon,06-10-1998,comedy,sophia johnson sophia smith,laura scott,6.03,race,498.52,Asian,golden horizon _Asian
lost   stars,15-12-2015,comedy,william williams mia jones,daniel ford,7.77,cultural,423.59,european,lost   stars _european
final hour,04-12-2014,thriller,william davis william hernandez,daniel ford,8.4,age,349.75,european,final hour _european
echoes  eternity,28-01-1992,thriller,olivia johnson john hernandez,catherine hayes,7.81,age,122.84,Asian,echoes  eternity _Asian
final hour,06-08-2017,action,liam miller james martinez,laura scott,5.62,lgbtq,227.3,Asian,final hour _Asian
echoes  eternity,07-04-1980,fantasy,olivia williams olivia davis,emily adams,8.19,cultural,174.3,european,echoes  eternity _european
forgotten voyage,28-02-2022,drama,emma davis sophia brown,laura scott,8.1,cultural,62.54,Asian,forgotten voyage _Asian
final hour,24-01-2016,scifi,noah johnson emma smith,emily adams,6.45,lgbtq,205.8,european,final hour _european
golden horizon,13-05-2002,fantasy,emma jones isabella brown,michael carter,5.36,disability,455.65,american,golden horizon _american
legends   fallen,22-01-2003,fantasy,william brown noah johnson,daniel ford,8.63,gender,157.5,european,legends   fallen _european
secrets   valley,05-08-2004,comedy,john miller william johnson,steven miller,9.63,race,215.94,american,secrets   valley _american
echoes  eternity,16-09-2017,scifi,mia jones john davis,catherine hayes,7.84,race,31.41,Asian,echoes  eternity _Asian
final hour,04-12-2016,drama,mia hernandez isabella miller,laura scott,8.07,age,378.74,Asian,final hour _Asian
echoes  eternity,09-05-1993,thriller,isabella johnson william johnson,laura scott,6.45,gender,209.94,Asian,echoes  eternity _Asian
lost   stars,28-09-2014,fantasy,liam hernandez sophia jones,daniel ford,6.26,cultural,346.68,european,lost   stars _european
forgotten voyage,02-11-1993,thriller,olivia hernandez olivia brown,daniel ford,8.26,age,263.69,european,forgotten voyage _european
final hour,18-10-2021,fantasy,noah jones mia hernandez,daniel ford,6.41,age,111.36,european,final hour _european
echoes  eternity,28-05-2001,thriller,john williams william brown,catherine hayes,8.62,cultural,476.09,Asian,echoes  eternity _Asian
forgotten voyage,23-01-2004,comedy,mia martinez noah miller,catherine hayes,5.06,cultural,356.85,Asian,forgotten voyage _Asian
secrets   valley,08-09-2018,documentary,john brown isabella brown,catherine hayes,9.23,age,208.89,Asian,secrets   valley _Asian
lost   stars,07-04-2014,comedy,liam smith olivia martinez,emily adams,5.92,gender,310.88,european,lost   stars _european
whispers   wind,23-06-2020,comedy,william hernandez liam smith,michael carter,8.19,lgbtq,483.49,american,whispers   wind _american
lost   stars,27-09-1981,action,noah brown liam davis,catherine hayes,6.97,lgbtq,89.88,Asian,lost   stars _Asian
shadows rising,09-04-1988,comedy,sophia davis sophia johnson,laura scott,5.78,gender,498.71,Asian,shadows rising _Asian
echoes  eternity,09-01-1986,scifi,james miller john williams,steven miller,9.72,race,10.61,american,echoes  eternity _american
lost   stars,07-06-2012,fantasy,mia johnson olivia miller,michael carter,6.81,age,437.71,american,lost   stars _american
final hour,21-11-2023,comedy,mia miller william jones,michael carter,8.77,gender,442.35,american,final hour _american
shadows rising,19-10-1981,action,mia johnson liam davis,emily adams,6.13,race,206.4,european,shadows rising _european
breaking chains,06-11-2023,drama,james jones william hernandez,daniel ford,5.27,gender,159.24,european,breaking chains _european
forgotten voyage,22-01-1993,documentary,william brown sophia johnson,michael carter,7.01,lgbtq,322.44,american,forgotten voyage _american
lost   stars,23-03-2009,fantasy,james smith mia garcia,daniel ford,8.37,cultural,108.91,european,lost   stars _european
whispers   wind,19-09-2010,comedy,olivia hernandez noah johnson,michael carter,5.35,gender,457.42,american,whispers   wind _american
whispers   wind,22-12-2007,scifi,emma jones noah martinez,steven miller,7.76,age,439.2,american,whispers   wind _american
echoes  eternity,05-02-1987,thriller,noah johnson james hernandez,catherine hayes,7.67,disability,294.35,Asian,echoes  eternity _Asian
whispers   wind,15-07-1994,scifi,james jones mia jones,emily adams,8.44,disability,101.36,european,whispers   wind _european
whispers   wind,04-12-1983,comedy,william jones john jones,daniel ford,7.93,cultural,109.74,european,whispers   wind _european
secrets   valley,22-05-2012,drama,james garcia liam smith,daniel ford,8.92,disability,100.8,european,secrets   valley _european
shadows rising,23-03-1991,drama,james garcia mia smith,emily adams,6.28,lgbtq,328.49,european,shadows rising _european
echoes  eternity,01-01-1984,scifi,emma miller olivia martinez,laura scott,7.76,cultural,227.43,Asian,echoes  eternity _Asian
final hour,06-12-1983,thriller,william miller william davis,catherine hayes,7.27,disability,417.51,Asian,final hour _Asian
echoes  eternity,08-01-2003,documentary,james smith william martinez,catherine hayes,5.3,disability,119.38,Asian,echoes  eternity _Asian
golden horizon,23-03-1980,scifi,james jones mia johnson,catherine hayes,5.58,race,331.18,Asian,golden horizon _Asian
secrets   valley,28-09-2006,comedy,liam johnson noah brown,emily adams,8.11,cultural,56.55,european,secrets   valley _european
lost   stars,13-01-1993,fantasy,liam johnson mia smith,emily adams,5.13,disability,296.84,european,lost   stars _european
secrets   valley,24-04-1998,scifi,james johnson john williams,laura scott,8.37,gender,273.69,Asian,secrets   valley _Asian
final hour,08-10-2007,action,isabella johnson noah smith,daniel ford,8.87,disability,71.13,european,final hour _european
breaking chains,07-07-1992,scifi,william garcia olivia smith,daniel ford,9.63,gender,234.53,european,breaking chains _european
final hour,04-07-2006,scifi,isabella miller isabella brown,emily adams,8.82,gender,249.85,european,final hour _european
forgotten voyage,07-10-1989,thriller,emma garcia noah brown,steven miller,6.04,cultural,353.64,american,forgotten voyage _american
echoes  eternity,06-01-2002,action,liam smith liam davis,emily adams,5.03,disability,441.34,european,echoes  eternity _european
final hour,03-08-1993,drama,john jones noah garcia,emily adams,8.89,gender,448.63,european,final hour _european
legends   fallen,11-07-1990,action,william garcia olivia martinez,steven miller,7.92,age,44.24,american,legends   fallen _american
golden horizon,08-08-2007,action,olivia brown emma hernandez,steven miller,7.43,race,341.67,american,golden horizon _american
shadows rising,19-06-1994,documentary,olivia martinez mia brown,daniel ford,9.99,age,312.41,european,shadows rising _european
golden horizon,12-05-2014,scifi,mia davis john martinez,laura scott,7.68,disability,393.71,Asian,golden horizon _Asian
shadows rising,03-03-1983,fantasy,isabella johnson olivia johnson,daniel ford,8.61,gender,397.37,european,shadows rising _european
breaking chains,15-02-2005,drama,william jones john williams,catherine hayes,9.59,gender,262.44,Asian,breaking chains _Asian
lost   stars,12-02-1993,fantasy,john williams sophia hernandez,steven miller,8.83,gender,395.17,american,lost   stars _american
forgotten voyage,12-09-1998,thriller,james garcia olivia davis,steven miller,5.13,disability,393.43,american,forgotten voyage _american
lost   stars,22-06-1998,scifi,olivia brown emma martinez,daniel ford,9.88,age,374.96,european,lost   stars _european
lost   stars,05-10-2010,documentary,william davis james jones,emily adams,6.49,gender,247.1,european,lost   stars _european
echoes  eternity,27-07-2006,fantasy,emma martinez emma martinez,steven miller,6.26,race,438.03,american,echoes  eternity _american
shadows rising,25-05-2005,thriller,mia davis isabella brown,michael carter,6.19,disability,14.02,american,shadows rising _american
golden horizon,24-10-2010,documentary,william brown isabella jones,daniel ford,9.51,race,56.96,european,golden horizon _european
lost   stars,14-05-1980,action,sophia hernandez emma hernandez,laura scott,7.76,age,151.27,Asian,lost   stars _Asian
final hour,10-03-2001,drama,john johnson emma williams,steven miller,9.49,gender,496.85,american,final hour _american
lost   stars,21-07-1999,drama,sophia martinez noah miller,laura scott,7.62,gender,186.61,Asian,lost   stars _Asian
lost   stars,08-10-1990,fantasy,liam hernandez isabella johnson,steven miller,7.92,gender,478.41,american,lost   stars _american
forgotten voyage,05-01-2007,action,olivia garcia sophia jones,steven miller,9.81,race,106.23,american,forgotten voyage _american
shadows rising,04-09-2008,fantasy,john smith emma hernandez,laura scott,8.67,disability,465.98,Asian,shadows rising _Asian
forgotten voyage,28-06-2019,action,william hernandez olivia garcia,michael carter,9.97,race,77.66,american,forgotten voyage _american
shadows rising,06-07-1995,action,emma johnson olivia martinez,michael carter,5.77,cultural,51.43,american,shadows rising _american
echoes  eternity,17-11-2000,scifi,noah jones isabella smith,daniel ford,7.9,lgbtq,424.93,european,echoes  eternity _european
secrets   valley,02-04-2020,fantasy,sophia miller noah jones,laura scott,6.11,age,203.19,Asian,secrets   valley _Asian
forgotten voyage,11-07-2014,documentary,john davis william garcia,catherine hayes,5.24,age,372.83,Asian,forgotten voyage _Asian
breaking chains,07-06-1982,documentary,liam martinez sophia williams,michael carter,6.2,age,327.83,american,breaking chains _american
legends   fallen,02-05-1997,comedy,noah smith olivia martinez,michael carter,5.26,gender,367.87,american,legends   fallen _american
breaking chains,09-10-2012,documentary,mia williams mia brown,catherine hayes,8.37,lgbtq,210.4,Asian,breaking chains _Asian
secrets   valley,21-11-2009,action,john brown sophia williams,daniel ford,8.34,cultural,120.33,european,secrets   valley _european
legends   fallen,09-02-2008,thriller,john davis liam smith,catherine hayes,7.26,disability,174.72,Asian,legends   fallen _Asian
breaking chains,20-09-1988,thriller,william davis liam brown,daniel ford,9.06,gender,91.28,european,breaking chains _european
shadows rising,24-03-2021,thriller,mia martinez isabella brown,catherine hayes,5.32,disability,91.67,Asian,shadows rising _Asian
whispers   wind,08-12-1989,drama,james miller isabella jones,steven miller,7.05,race,472.88,american,whispers   wind _american
legends   fallen,01-02-2023,comedy,liam hernandez olivia miller,emily adams,9.44,disability,485.65,european,legends   fallen _european
shadows rising,07-01-2000,action,olivia hernandez mia smith,daniel ford,8.49,disability,10.67,european,shadows rising _european
breaking chains,28-06-2015,drama,olivia williams mia johnson,steven miller,5.95,age,15.82,american,breaking chains _american
breaking chains,06-06-2015,comedy,sophia jones noah smith,michael carter,5.78,disability,106.66,american,breaking chains _american
shadows rising,21-01-2008,comedy,william williams sophia davis,michael carter,6.72,age,316.14,american,shadows rising _american
forgotten voyage,05-08-2020,comedy,john johnson emma hernandez,michael carter,6.32,age,132.29,american,forgotten voyage _american
final hour,03-04-2006,drama,emma jones isabella smith,daniel ford,10,gender,402.12,european,final hour _european
golden horizon,23-02-1990,action,olivia smith isabella smith,michael carter,6.69,cultural,124.39,american,golden horizon _american
shadows rising,27-07-2011,documentary,william brown liam miller,daniel ford,7.38,cultural,109.22,european,shadows rising _european
whispers   wind,15-05-2006,thriller,sophia hernandez noah hernandez,daniel ford,7.78,gender,200.94,european,whispers   wind _european
shadows rising,18-10-1993,action,john martinez emma johnson,michael carter,8.58,disability,340.47,american,shadows rising _american
breaking chains,25-01-2021,thriller,noah miller sophia miller,michael carter,5.9,gender,225.07,american,breaking chains _american
secrets   valley,02-03-2014,documentary,emma johnson olivia hernandez,michael carter,8.77,disability,235.35,american,secrets   valley _american
legends   fallen,20-01-2020,thriller,isabella hernandez mia martinez,emily adams,9.53,gender,35.13,european,legends   fallen _european
forgotten voyage,17-07-2000,thriller,noah garcia william brown,michael carter,9.72,gender,453.24,american,forgotten voyage _american
shadows rising,05-09-2015,documentary,emma jones mia miller,daniel ford,6.74,age,280.59,european,shadows rising _european
breaking chains,23-08-2018,fantasy,mia hernandez isabella davis,laura scott,9.3,lgbtq,363.64,Asian,breaking chains _Asian
breaking chains,12-08-2000,comedy,noah martinez olivia johnson,emily adams,7.04,gender,122.84,european,breaking chains _european
legends   fallen,10-03-2019,drama,olivia williams james garcia,catherine hayes,6.78,gender,424.91,Asian,legends   fallen _Asian
forgotten voyage,07-01-2006,fantasy,sophia johnson noah martinez,steven miller,5.04,race,435.78,american,forgotten voyage _american
golden horizon,24-11-2009,thriller,sophia williams olivia garcia,steven miller,9.03,gender,317.31,american,golden horizon _american
echoes  eternity,07-10-1998,comedy,john martinez john johnson,emily adams,9.04,age,458.36,european,echoes  eternity _european
legends   fallen,16-10-2007,fantasy,emma williams william martinez,emily adams,7.07,cultural,27.78,european,legends   fallen _european
golden horizon,12-06-2021,fantasy,liam garcia noah hernandez,emily adams,6.88,age,109.32,european,golden horizon _european
echoes  eternity,09-09-2009,thriller,olivia brown noah williams,emily adams,9.88,lgbtq,115.76,european,echoes  eternity _european
breaking chains,27-03-2008,drama,mia martinez william miller,daniel ford,5.46,disability,78.42,european,breaking chains _european
secrets   valley,07-08-1983,thriller,isabella smith sophia miller,laura scott,6.66,gender,360.11,Asian,secrets   valley _Asian
secrets   valley,11-04-2009,thriller,isabella martinez isabella davis,laura scott,7.93,disability,216.46,Asian,secrets   valley _Asian
echoes  eternity,23-05-2019,documentary,mia johnson liam jones,steven miller,6.49,lgbtq,459.26,american,echoes  eternity _american
shadows rising,16-05-2008,comedy,james martinez liam johnson,daniel ford,6.48,lgbtq,165.25,european,shadows rising _european
final hour,23-11-1984,thriller,emma smith liam garcia,emily adams,5,gender,146.11,european,final hour _european
secrets   valley,04-07-2003,comedy,james brown james miller,emily adams,5.67,cultural,413.95,european,secrets   valley _european
whispers   wind,17-05-2017,fantasy,william johnson isabella davis,emily adams,6.29,race,326.74,european,whispers   wind _european
shadows rising,27-06-1991,scifi,john martinez isabella smith,michael carter,5.22,gender,419.58,american,shadows rising _american
forgotten voyage,11-10-1998,drama,john miller olivia martinez,michael carter,8.06,gender,386.73,american,forgotten voyage _american
legends   fallen,19-03-2014,action,isabella williams mia davis,laura scott,6.34,gender,146.39,Asian,legends   fallen _Asian
echoes  eternity,09-12-1986,action,mia williams sophia hernandez,laura scott,6.59,age,107.38,Asian,echoes  eternity _Asian
shadows rising,09-04-2002,drama,noah davis isabella hernandez,michael carter,8.36,age,466.68,american,shadows rising _american
golden horizon,13-04-2015,thriller,mia williams john davis,daniel ford,8.76,gender,359.76,european,golden horizon _european
golden horizon,01-11-1999,thriller,liam jones noah miller,daniel ford,7.04,cultural,213.72,european,golden horizon _european
legends   fallen,04-11-2010,action,noah miller mia davis,steven miller,7.3,lgbtq,203.25,american,legends   fallen _american
whispers   wind,02-10-2005,thriller,william johnson james miller,steven miller,8.72,lgbtq,440.19,american,whispers   wind _american
final hour,16-03-1985,drama,james davis olivia smith,michael carter,9.96,race,56.91,american,final hour _american
lost   stars,17-06-1992,thriller,john brown noah garcia,steven miller,9.09,cultural,332.1,american,lost   stars _american
lost   stars,24-12-2015,action,olivia johnson liam brown,catherine hayes,7.57,lgbtq,299.79,Asian,lost   stars _Asian
echoes  eternity,14-04-1985,action,william davis sophia garcia,catherine hayes,6.77,cultural,461.79,Asian,echoes  eternity _Asian
secrets   valley,17-02-2007,fantasy,mia jones emma garcia,michael carter,9.86,cultural,107.46,american,secrets   valley _american
forgotten voyage,08-07-1985,thriller,olivia johnson emma jones,catherine hayes,6.5,cultural,441.98,Asian,forgotten voyage _Asian
secrets   valley,16-11-1980,drama,isabella martinez james garcia,laura scott,6.39,disability,116.44,Asian,secrets   valley _Asian
golden horizon,06-08-1994,thriller,liam miller noah williams,daniel ford,9.99,age,27.46,european,golden horizon _european
final hour,23-03-2022,drama,mia williams james hernandez,daniel ford,6.33,disability,183.37,european,final hour _european
forgotten voyage,16-03-1985,action,james johnson john davis,laura scott,7.1,race,78.87,Asian,forgotten voyage _Asian
golden horizon,28-06-1984,thriller,mia miller james davis,michael carter,9.38,gender,444.23,american,golden horizon _american
shadows rising,26-05-1990,scifi,james hernandez emma garcia,emily adams,7.62,gender,260.65,european,shadows rising _european
lost   stars,17-09-1994,documentary,isabella williams noah hernandez,daniel ford,6.84,disability,369.42,european,lost   stars _european
echoes  eternity,04-04-1988,comedy,isabella brown william williams,michael carter,9.29,cultural,471.69,american,echoes  eternity _american
legends   fallen,05-12-1982,fantasy,emma garcia isabella garcia,laura scott,9.49,disability,315.61,Asian,legends   fallen _Asian
forgotten voyage,03-11-1982,action,mia davis emma garcia,laura scott,6.9,cultural,167.7,Asian,forgotten voyage _Asian
legends   fallen,17-09-1993,drama,noah miller mia garcia,emily adams,9.9,age,468.5,european,legends   fallen _european
whispers   wind,25-08-1985,documentary,noah brown liam garcia,daniel ford,7.87,cultural,300.01,european,whispers   wind _european
legends   fallen,14-12-1994,comedy,emma jones john davis,emily adams,8.14,gender,132.02,european,legends   fallen _european
legends   fallen,19-08-1992,comedy,liam jones john martinez,michael carter,8.79,race,150.78,american,legends   fallen _american
legends   fallen,14-03-2002,drama,liam johnson isabella brown,emily adams,8.03,race,293.42,european,legends   fallen _european
echoes  eternity,06-12-1992,thriller,james miller emma jones,catherine hayes,6.05,cultural,365.69,Asian,echoes  eternity _Asian
golden horizon,01-03-2008,thriller,james jones william davis,laura scott,9.18,gender,295.26,Asian,golden horizon _Asian
legends   fallen,03-02-1999,scifi,noah davis william martinez,laura scott,8.27,disability,352.14,Asian,legends   fallen _Asian
breaking chains,14-07-1991,drama,isabella johnson james martinez,laura scott,5.17,cultural,137.56,Asian,breaking chains _Asian
secrets   valley,26-02-2013,comedy,noah jones liam davis,michael carter,5.39,cultural,432.06,american,secrets   valley _american
lost   stars,12-05-1981,scifi,sophia garcia john brown,daniel ford,5.55,race,293.95,european,lost   stars _european
final hour,27-06-2010,thriller,emma jones emma davis,laura scott,6.93,race,261.24,Asian,final hour _Asian
whispers   wind,20-05-1980,fantasy,olivia smith mia brown,michael carter,7.02,cultural,416.37,american,whispers   wind _american
echoes  eternity,27-02-2018,thriller,olivia martinez john johnson,emily adams,6.25,gender,202.92,european,echoes  eternity _european
whispers   wind,13-05-2001,fantasy,mia hernandez john johnson,laura scott,9.4,cultural,488.38,Asian,whispers   wind _Asian
whispers   wind,01-06-2003,drama,olivia davis mia brown,daniel ford,7.08,cultural,119.96,european,whispers   wind _european
forgotten voyage,03-06-1980,scifi,noah brown emma miller,laura scott,9.36,race,257.49,Asian,forgotten voyage _Asian
whispers   wind,11-03-1987,comedy,emma garcia liam miller,daniel ford,9.91,cultural,237.88,european,whispers   wind _european
whispers   wind,24-08-1984,action,noah garcia emma miller,laura scott,8.96,disability,203.71,Asian,whispers   wind _Asian
shadows rising,18-07-2000,drama,john johnson mia martinez,laura scott,5.36,disability,40.31,Asian,shadows rising _Asian
secrets   valley,05-04-2001,documentary,john johnson isabella jones,emily adams,8.87,disability,170.95,european,secrets   valley _european
final hour,16-01-1995,thriller,mia smith sophia smith,daniel ford,8.18,disability,129.51,european,final hour _european
legends   fallen,14-08-2004,action,john hernandez olivia martinez,michael carter,8.52,race,86.1,american,legends   fallen _american
breaking chains,05-11-1998,documentary,noah martinez james davis,steven miller,8.62,race,337.89,american,breaking chains _american
shadows rising,02-09-2010,comedy,sophia hernandez william hernandez,emily adams,8.82,cultural,211.51,european,shadows rising _european
golden horizon,25-11-1995,scifi,mia davis emma smith,daniel ford,8.27,disability,48.58,european,golden horizon _european
legends   fallen,16-05-1992,thriller,liam miller olivia johnson,catherine hayes,5.86,cultural,178.01,Asian,legends   fallen _Asian
breaking chains,11-08-2015,comedy,olivia smith john davis,emily adams,5.15,cultural,402.16,european,breaking chains _european
whispers   wind,13-02-2022,documentary,noah smith liam smith,catherine hayes,7.74,lgbtq,167.47,Asian,whispers   wind _Asian
echoes  eternity,02-04-2022,drama,noah davis sophia williams,laura scott,7.67,gender,26.42,Asian,echoes  eternity _Asian
echoes  eternity,28-11-2005,scifi,john williams isabella johnson,emily adams,5.43,age,357.61,european,echoes  eternity _european
echoes  eternity,26-05-2018,action,liam hernandez william brown,michael carter,9.65,race,154.27,american,echoes  eternity _american
echoes  eternity,11-05-1991,fantasy,sophia brown liam garcia,catherine hayes,5.65,cultural,105.69,Asian,echoes  eternity _Asian
legends   fallen,15-12-1986,thriller,mia hernandez james miller,daniel ford,9.43,lgbtq,209.72,european,legends   fallen _european
lost   stars,22-01-1990,scifi,james jones olivia brown,catherine hayes,7.58,disability,316.42,Asian,lost   stars _Asian
breaking chains,18-02-1998,scifi,sophia davis john martinez,catherine hayes,7.79,lgbtq,327.54,Asian,breaking chains _Asian
breaking chains,13-06-2015,scifi,mia williams sophia davis,laura scott,7.88,gender,464.92,Asian,breaking chains _Asian
breaking chains,20-12-2011,drama,noah miller olivia martinez,daniel ford,6.12,race,364.61,european,breaking chains _european
forgotten voyage,22-09-2010,comedy,mia brown sophia brown,michael carter,9.92,race,159.1,american,forgotten voyage _american
legends   fallen,11-04-2019,drama,mia smith john williams,daniel ford,6.47,lgbtq,197.46,european,legends   fallen _european
forgotten voyage,12-03-2019,scifi,liam hernandez emma davis,steven miller,9.27,race,413.64,american,forgotten voyage _american
shadows rising,05-02-2008,drama,john johnson isabella garcia,daniel ford,8.36,gender,127.81,european,shadows rising _european
legends   fallen,14-12-2022,fantasy,mia jones isabella jones,steven miller,5.19,disability,49.02,american,legends   fallen _american
breaking chains,06-06-1997,documentary,james davis liam davis,catherine hayes,5.19,disability,260.27,Asian,breaking chains _Asian
golden horizon,25-09-2022,drama,olivia johnson emma miller,emily adams,7.79,race,24.6,european,golden horizon _european
forgotten voyage,06-02-2005,thriller,mia smith isabella williams,daniel ford,5.43,age,336.46,european,forgotten voyage _european
forgotten voyage,05-08-2012,thriller,mia martinez sophia martinez,steven miller,6.74,lgbtq,383.05,american,forgotten voyage _american
final hour,21-07-2010,drama,olivia garcia emma martinez,daniel ford,7.83,lgbtq,175.67,european,final hour _european
secrets   valley,09-12-2006,scifi,james martinez mia johnson,emily adams,5.25,disability,34.21,european,secrets   valley _european
whispers   wind,01-06-1993,drama,liam miller noah hernandez,catherine hayes,8.43,race,495.83,Asian,whispers   wind _Asian
whispers   wind,23-02-1982,fantasy,isabella smith liam johnson,michael carter,9.25,lgbtq,472.11,american,whispers   wind _american
shadows rising,15-08-2008,drama,john martinez william martinez,steven miller,6.97,disability,318.82,american,shadows rising _american
secrets   valley,17-09-2016,drama,noah jones john hernandez,laura scott,9.74,cultural,37.64,Asian,secrets   valley _Asian
whispers   wind,01-10-2016,documentary,john davis james williams,emily adams,9.03,disability,180.07,european,whispers   wind _european
legends   fallen,28-07-1995,action,mia jones olivia miller,emily adams,5.75,age,489.81,european,legends   fallen _european
legends   fallen,16-08-1996,action,olivia garcia james miller,michael carter,9.94,disability,233.84,american,legends   fallen _american
lost   stars,15-07-2004,action,mia smith isabella williams,catherine hayes,9.9,gender,183.41,Asian,lost   stars _Asian
